Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,520
design__instance__area,4902.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,5
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0013692997163161635
power__switching__total,0.0006573818391188979
power__leakage__total,6.032169430625345E-9
power__total,0.0020266876090317965
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2550532635062243
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2533471559804552
timing__hold__ws__corner:nom_tt_025C_1v80,0.3262823992231103
timing__setup__ws__corner:nom_tt_025C_1v80,5.870759156092809
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.326282
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,Infinity
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,5
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,5
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.25774946795335596
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.2579354303152401
timing__hold__ws__corner:nom_ss_100C_1v60,0.817274937524973
timing__setup__ws__corner:nom_ss_100C_1v60,3.8595474575392417
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.900149
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.439092
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,5
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2545387583864862
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2527206571099406
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11477635833292903
timing__setup__ws__corner:nom_ff_n40C_1v95,6.565465690277299
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114776
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,Infinity
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,8
design__max_fanout_violation__count,5
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2535803305777967
clock__skew__worst_setup,0.25228908565248753
timing__hold__ws,0.11271389696175248
timing__setup__ws,3.8346269467344953
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112714
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.411510
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 98.29 109.01
design__core__bbox,5.52 10.88 92.46 97.92
design__io,24
design__die__area,10714.6
design__core__area,7567.26
design__instance__count__stdcell,520
design__instance__area__stdcell,4902.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.647817
design__instance__utilization__stdcell,0.647817
design__instance__count__class:inverter,20
design__instance__count__class:sequential_cell,82
design__instance__count__class:multi_input_combinational_cell,190
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,466
design__instance__count__class:tap_cell,102
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,22
design__io__hpwl,1021288
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,6212.44
design__violations,0
design__instance__count__class:timing_repair_buffer,110
design__instance__count__class:clock_buffer,13
design__instance__count__class:clock_inverter,3
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,73
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,423
route__net__special,2
route__drc_errors__iter:1,86
route__wirelength__iter:1,7423
route__drc_errors__iter:2,23
route__wirelength__iter:2,7367
route__drc_errors__iter:3,20
route__wirelength__iter:3,7340
route__drc_errors__iter:4,0
route__wirelength__iter:4,7316
route__drc_errors,0
route__wirelength,7316
route__vias,2509
route__vias__singlecut,2509
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,204.36
timing__unannotated_net__count__corner:nom_tt_025C_1v80,7
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,7
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,7
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,5
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.2540800142197369
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.25304992151278105
timing__hold__ws__corner:min_tt_025C_1v80,0.32321729541003813
timing__setup__ws__corner:min_tt_025C_1v80,5.883319775659447
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.323217
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
